✔,slug,title,author,genre,year,start,finish,finish_date,media,w,h,drawing,via,desc,translator,narrator,illustrator
,a-walk-in-the-woods-bryson,A Walk in the Woods: Rediscovering America on the Appalachian Trail,Bill Bryson,Travel,2006,2020-06-15,2020-06-22,2020,Audiobook,6.5,13,TRUE,.,,,,
,,Stamped from the Beginning: The Definitive History of Racist Ideas in America,Ibram X. Kendi,History,2016,2020-06-09,Shelved,,Audiobook,💻,,,Zeitgeist,,,Christopher Dontrell Piper,
,understanding-the-enneagram-riso,Understanding the Enneagram: The Practical Guide to Personality Types,Don Richard Riso; Russ Hudson,Psychology,1990,2020-05-30,2020-07-21,2020,Book,14.5,21,TRUE,Mom and Dad,,,,
,phantoms-in-the-brain-ramachandran,Phantoms in the Brain: Probing the Mysteries of the Human Mind ,V.S. Ramachandran; Sandra Blakeslee,Science,1998,2020-05-30,2020-06-16,2020,Audiobook,6.5,13,TRUE,Oliver Sacks,,,Neil Shah,
,,Personality Types: Using the Enneagram for Self-Discovery,Don Richard Riso; Russ Hudson,Psychology,1996,2020-05-30,Shelved,,Book,5.5,8,,Mom and Dad,,,,
,no-such-thing-as-silence-gann,No Such Thing As Silence: John Cage’s 4′33″,Kyle Gann,Music,2010,2020-05-28,2020-06-16,2020,Book,14,22,TRUE,?,,,,
,in-persuasion-nation-saunders,In Persuasion Nation: Stories,George Saunders,Fiction,2006,2020-05-27,2020-07-23,2020,Book,13,21,TRUE,.,,,,
,emergence-johnson,"Emergence: The Connected Lives of Ants, Brains, Cities, and Software",Steven Johnson,Science,2001,2020-05-23,2020-08-04,2020,Book,16,23,TRUE,"Alan Jacobs: ""fascinating book""",,,,
,,How to Think More About Sex,Alain de Botton,Psychology,2012,2020-05-22,Shelved,,Book,4.5,7,,?,,,,
,how-proust-can-change-your-life-de-botton,How Proust Can Change Your Life,Alain de Botton,Philosophy,1998,2020-05-09,2020-05-19,2020,Book,13,21,TRUE,?,,,,
,the-river-of-consciousness-sacks,The River of Consciousness,Oliver Sacks,Science,2017,2020-05-05,2020-05-20,2020,Audiobook,6.5,13,TRUE,Re-read,,,Dan Woren; Kate Edgar,
,,Wolf Hall,Hilary Mantel,Fiction,2009,2020-04-27,Shelved,,Audiobook,,,,Author mentioned by Tanya Luhrmann in a lecture,,,Ben Miles,
✔,hallucinations-sacks,Hallucinations,Oliver Sacks,Science,2012,2020-04-23,2020-04-26,2020,Audiobook,6.5,13,TRUE,Re-read,,,Dan Woren,
,,Atomic Habits: An Easy & Proven Way to Build Good Habits & Break Bad Ones,James Clear,Self-Help,2018,2020-04-20,Shelved,,Audiobook,,,,.,,,,
,the-body-bryson,The Body: A Guide for Occupants,Bill Bryson,Science,2019,2020-04-01,2020-04-20,2020,Audiobook,6.5,13,TRUE,.,,,,
,,Healing with Whole Foods: Asian Traditions and Modern Tradition,Paul Pritchford,Nutrition,1993,2020-03-31,Shelved,,Book,,,,Kristen,,,,
,dead-astronauts-vandermeer,Dead Astronauts,Jeff VanderMeer,Fiction,2019,2020-03-09,2020-04-12,2020,Book,15,20,TRUE,Robin Sloan,,,,
,religion-as-we-know-it-miles,Religion As We Know It: An Origin Story,Jack Miles,Religion,2020,2020-02-26,2020-03-17,2020,Book,11.5,18.5,TRUE,Browsing library,,,,
,,Eyes Bottle Dark with a Mouthful of Flowers,Jake Skeets,Poetry,,2020-02-22,Shelved,,Book,,,,Browsing library,,,,
,transgender-history-stryker,Transgender History: The Roots of Today's Revolution,Susan Stryker,History,2017,2020-02-22,2020-05-23,2020,Book,14,21,TRUE,Browsing library,,,,
,at-home-bryson,At Home: A Short History of Private Life,Bill Bryson,History,2010,2020-02-22,2020-03-31,2020,Audiobook,6.5,13,TRUE,.,,,,
,the-end-knausgaard,The End: My Struggle Book 6,Karl Ove Knausgaard,Fiction,2011,2020-02-20,2020-08-27,2020,Audiobook,16.5,20,TRUE,.,,Don Bartlett; Martin Aitken,Edoardo Ballerini,
